item_type,Product_id,Product_sku
Product,267,E-F17T8
Product,268,QUOTE
Product,271,ILP-BL-4T8
Product,466,F14T5/830-CASE50
Product,467,F14T5/835-CASE50
Product,468,F14T5/841-CASE50
Product,469,F14T5/865-CASE50
Product,470,F21T5/830-CASE50
Product,471,F21T5/835-CASE25
Product,472,F21T5/841-CASE25
Product,473,F21T5/850-CASE25
Product,474,F21T5/865-CASE25
Product,475,F24T5/830/HO-CASE50
Product,476,F24T5/835/HO-CASE50
Product,477,F24T5/841/HO-CASE50
Product,478,F24T5/865/HO-CASE50
Product,487,F39T5/830/HO-CASE50
Product,488,F39T5/835/HO-CASE50
Product,489,F39T5/841/HO-CASE50
Product,490,F39T5/865/HO-CASE50
Product,600,TF-HB131A125632M23MV
Product,601,TF-HB131A125654M23MV
Product,610,TF-H6L6328W13MV
Product,612,TF-H6L632W13MV
Product,613,TF-H6L6548M23MV
Product,614,TF-H6L6548W13MV
Product,694,TF-LINLV3548MV
Product,696,TF-LINLV354MV
Product,698,TF-LINMW2328MV
Product,700,TF-LINMW232MV
Product,702,TF-LINMW2548MV
Product,704,TF-LINMW254MV
