product_id,parent_sku,"Light Source","Fixture Size","Color Rendering Index (CRI)","Lumen Output","Color Temperature","Total Input Watts","Ballast and Voltage","Listings and Ratings","Driver Type","Luminaire Efficacy Rating (LER)","L70 Expected Life (hours)","Lamp Count","Pack Size","Total Input Watt","Color Temperature (CCT)","Max Ambient Temp",__alsobought,"Max Color Rendering Index (CRI)Temp","Lamp Type",Base,Bulb,Watts,"Initial Lumens","Mean Lumens","Color Temp. (deg K)","Color Rendition Index (CRI)",Coating,"Lamp Life (3hrs. per start)","Lamp Life (12hrs. per start)","MOL (in / mm)","MOD (in / mm)",Manufacturer,"Ballast Technology","Ballast Type","Lamp Wattage","Line Voltage","Starting Type","Ballast Factor","Insulation Rating",Pack,"Total Inputs","L70 Expected Hours (hours)","Pack size","Rated Life",Warranty,"Color Rendering Index","Expected Life (hours)","Color Rendering index (CRI)","Max Ambient","Light Soure","L70 Expected Life Hours","Fixture Watts",DriverType,"Total Input  Watts","Color Rendering Imdex (CRI)","L70 Expected Life (hour)","Luminaire Efficacy Rating  (LER)","Color Temperature  (CCT)","Luminaire Efficacy Rating","Luminaire Efficacy rating (LER)","Total Watt Input","Driver  Type","Driver Typw","L70 Expected Life","Color Rendering Index (CRI0","LIght Source",120-277V,"Color Rendering  Index (CRI)","Fixrture Size","Fxiture Size"
267,E-F17T8,"T8 Fluorescent","2' Linear",83,1400,5000K,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,TF-LINPF2328MV,"T8 Fluorescent","8' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,TF-LINPF232MV,"T8 Fluorescent","4' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,TF-LINPF2548MV,"T5HO Fluorescent","8' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,TF-LINPF3548MV,"T5HO Fluorescent","8' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,TF-LINPF354MV,"T5HO Fluorescent","4' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,TF-LINLV2548MV,"T5HO Fluorescent","8' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,TF-LINLV254MV,"T5HO Fluorescent","4' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,TF-LINLV3548MV,"T5HO Fluorescent","8' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,TF-LINLV354MV,"T5HO Fluorescent","4' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
